Study Hours,Scores
8.99,32.98
22.82,79.33
17.57,68.22
14.37,62.05
3.74,17.65
3.74,17.1
1.39,4.16
20.79,76.76
14.43,60.3
16.99,63.79
0.49,12.88
23.28,95.97
19.98,77.02
5.1,17.34
4.36,16.98
4.4,16.4
7.3,34.78
12.59,51.29
10.37,37.82
6.99,37.41
14.68,58.97
3.35,17.24
7.01,25.0
8.79,36.98
10.95,45.36
18.84,65.91
4.79,29.24
12.34,55.81
14.22,54.89
1.11,0.0
14.58,60.06
4.09,16.79
1.56,8.02
22.77,92.04
23.18,95.25
19.4,84.84
7.31,32.08
2.34,4.11
16.42,72.49
10.56,50.44
2.93,27.48
11.88,41.9
0.83,4.53
21.82,76.87
6.21,27.61
15.9,60.86
7.48,39.54
12.48,46.05
13.12,44.03
4.44,15.4
23.27,83.2
18.6,78.16
22.55,79.87
21.48,86.06
14.35,47.01
22.12,86.88
2.12,16.7
4.7,20.6
1.09,0.04
7.81,31.08
9.33,37.41
6.51,28.4
19.89,72.73
8.56,37.2
6.74,13.44
13.02,48.93
3.38,11.08
19.25,80.17
1.79,7.27
23.69,87.73
18.53,69.2
4.77,20.07
0.13,0.12
19.57,75.38
16.96,65.44
17.5,73.48
18.51,71.45
1.78,6.68
8.6,45.25
2.78,4.0
20.71,73.58
14.96,63.76
7.94,28.37
1.53,4.53
7.46,25.93
7.8,29.9
17.51,78.03
15.3,65.21
21.29,89.47
11.33,38.24
2.87,5.72
17.12,54.28
18.26,68.99
13.47,58.66
18.5,76.58
11.85,46.29
12.55,50.09
10.26,37.6
0.61,3.46
2.59,14.19
0.75,0.0
15.27,62.58
7.54,34.82
12.21,46.76
21.78,90.62
5.98,37.99
9.85,38.88
18.13,74.49
5.49,18.27
1.85,8.31
6.95,30.1
3.87,16.45
22.31,84.14
19.39,78.59
15.2,68.11
20.92,85.92
19.29,81.97
4.48,16.73
21.42,89.43
12.94,53.16
19.38,72.77
21.51,87.63
7.63,25.56
2.64,7.4
5.47,22.83
10.25,42.49
19.63,72.57
20.66,87.91
0.17,3.54
12.26,45.52
10.02,32.39
5.33,20.6
2.88,9.29
8.1,32.97
22.63,88.7
7.76,21.0
12.45,47.86
16.87,65.95
8.73,38.09
23.32,89.79
23.1,100.0
6.04,14.6
11.93,54.28
7.22,27.76
6.84,31.66
0.89,3.96
14.63,64.22
12.06,46.3
1.24,0.0
6.69,33.86
21.8,86.63
5.75,24.11
3.48,20.09
11.75,41.84
23.66,97.62
5.81,20.29
16.13,63.86
18.28,73.48
5.7,15.3
17.48,66.03
8.83,42.08
15.18,65.15
15.2,60.49
12.86,52.66
2.17,7.21
20.05,86.98
7.7,29.8
4.48,19.08
0.98,9.65
14.18,52.83
16.26,72.83
0.4,0.0
12.29,57.31
5.44,19.9
15.48,60.71
4.18,7.27
16.58,64.05
9.28,31.92
22.48,86.88
3.3,12.51
8.19,37.55
2.72,11.92
22.19,90.3
21.06,78.76
6.19,20.36
15.84,72.35
19.61,74.76
13.32,61.56
12.71,49.62
5.8,23.21
2.23,14.27
21.53,92.48
21.61,85.89
15.19,58.82
8.14,32.28
8.38,35.21
17.42,74.14
21.53,86.14
21.29,88.25
18.72,83.07
15.41,63.55
2.02,9.64
3.88,7.93
21.57,73.13
14.55,60.14
0.22,0.41
2.44,7.19
15.92,64.9
0.12,0.18
3.86,21.08
13.17,53.11
16.61,62.71
15.65,67.55
5.38,20.43
17.09,70.99
5.69,20.37
7.81,27.99
17.92,72.1
15.59,62.42
20.38,83.92
15.78,61.78
13.64,45.38
2.25,6.84
8.83,39.29
6.36,23.95
5.86,22.21
23.35,98.33
9.43,34.16
21.41,77.93
15.15,59.8
19.08,73.9
12.06,43.41
13.85,54.52
11.82,49.74
4.69,18.71
17.34,70.89
6.74,36.03
0.58,0.61
15.49,63.35
4.25,14.45
22.57,86.05
22.89,88.64
21.96,85.45
8.88,37.32
0.37,13.23
22.28,85.54
10.28,39.04
23.2,92.48
23.13,94.5
20.47,83.2
7.07,34.7
9.24,24.83
20.43,69.79
7.61,27.96
4.07,21.77
13.36,45.61
22.47,74.84
16.7,69.66
13.68,55.94
2.33,3.87
14.76,54.11
23.76,90.19
3.36,13.99
12.44,46.63
21.06,86.71
17.78,56.85
16.73,62.64
16.86,61.81
8.63,33.24
7.05,25.51
19.42,81.67
19.44,68.46
20.81,83.47
21.92,90.47
12.27,58.36
12.04,45.75
19.16,78.26
15.6,53.38
16.85,55.44
19.1,80.62
21.36,85.41
8.11,38.33
9.01,29.17
2.26,11.64
13.88,64.86
0.86,5.54
11.17,46.06
13.02,52.12
6.88,19.67
14.18,63.5
0.73,0.0
0.9,6.12
19.74,71.14
8.64,28.66
3.05,19.38
12.53,48.38
18.48,81.19
5.18,20.33
14.95,50.59
2.05,12.66
1.24,2.01
12.75,54.49
12.98,52.05
15.3,53.48
17.43,70.54
23.42,100.0
12.39,52.02
7.75,30.71
19.08,81.7
6.5,27.05
10.54,43.21
1.88,2.06
0.61,3.61
23.1,97.58
20.06,76.06
16.7,73.92
9.81,38.78
4.16,12.2
3.75,19.99
6.01,22.61
13.18,56.52
17.15,67.14
15.84,63.06
6.72,29.35
22.92,93.13
17.71,60.86
13.3,47.59
14.68,63.37
10.07,39.62
5.95,21.18
8.54,27.37
18.19,67.36
0.35,0.0
2.79,10.65
1.1,1.41
0.98,0.0
20.53,81.78
16.89,69.38
11.38,55.99
2.35,1.84
11.8,53.0
11.36,50.31
4.16,12.74
10.41,42.66
9.56,35.95
14.78,60.05
15.24,68.51
1.09,7.39
8.99,38.5
15.02,57.93
12.08,40.9
20.56,81.2
15.81,69.27
3.91,8.0
1.69,1.48
15.42,62.31
0.64,0.0
14.06,52.28
22.57,88.16
13.81,48.41
9.32,32.41
15.44,65.28
11.0,37.46
13.09,44.37
22.6,87.25
9.27,40.74
23.07,91.3
21.73,84.6
4.7,19.02
1.66,0.0
2.42,12.15
0.44,3.68
2.27,7.03
16.39,70.59
1.71,1.2
7.66,36.28
20.28,81.89
0.56,0.56
19.55,78.1
6.76,26.5
2.84,17.46
16.72,61.5
15.09,56.55
21.06,89.42
17.64,67.58
19.28,81.62
6.77,35.58
4.26,15.03
18.01,75.45
19.36,71.67
23.77,98.85
9.9,40.6
8.93,38.09
18.63,71.29
8.18,24.41
22.34,91.88
20.6,72.08
10.3,39.61
18.02,76.79
18.11,73.4
2.47,19.62
21.66,91.77
12.13,45.25
19.83,79.46
7.68,30.48
21.49,78.05
9.34,32.66
0.26,0.0
21.73,76.74
2.19,9.0
7.66,29.39
22.8,82.84
22.81,93.26
13.76,58.62
15.16,61.78
10.76,41.42
7.04,31.12
7.89,34.96
16.14,66.1
18.06,68.12
19.0,77.38
18.95,81.78
2.19,5.78
11.87,57.97
1.38,2.89
13.19,52.92
10.6,39.04
21.3,86.32
8.42,24.97
2.81,8.51
3.43,8.26
